,frame,time,goal,is_orange,distanceToGoal,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,ball_ang_vel_x,ball_ang_vel_y,ball_ang_vel_z,ball_hit_team_no,ball_rot_x,ball_rot_y,ball_rot_z,shot_taker_id,shot_taker_name,shot_taker_ping,shot_taker_pos_x,shot_taker_pos_y,shot_taker_pos_z,shot_taker_vel_x,shot_taker_vel_y,shot_taker_vel_z,shot_taker_ang_vel_x,shot_taker_ang_vel_y,shot_taker_ang_vel_z,shot_taker_throttle,shot_taker_steer,shot_taker_rot_x,shot_taker_rot_y,shot_taker_rot_z,shot_taker_ball_cam,shot_taker_boost,shot_taker_boost_active,shot_taker_jump_active,shot_taker_double_jump_active,shot_taker_dodge_active,shot_taker_boost_collect,team_mate_id,team_mate_name,team_mate_ping,team_mate_pos_x,team_mate_pos_y,team_mate_pos_z,team_mate_vel_x,team_mate_vel_y,team_mate_vel_z,team_mate_ang_vel_x,team_mate_ang_vel_y,team_mate_ang_vel_z,team_mate_throttle,team_mate_steer,team_mate_handbrake,team_mate_rot_x,team_mate_rot_y,team_mate_rot_z,team_mate_ball_cam,team_mate_boost,team_mate_boost_active,team_mate_jump_active,team_mate_double_jump_active,team_mate_dodge_active,team_mate_boost_collect,opp_1_name,opp_1_id,opp_1_ping,opp_1_pos_x,opp_1_pos_y,opp_1_pos_z,opp_1_vel_x,opp_1_vel_y,opp_1_vel_z,opp_1_ang_vel_x,opp_1_ang_vel_y,opp_1_ang_vel_z,opp_1_throttle,opp_1_steer,opp_1_handbrake,opp_1_rot_x,opp_1_rot_y,opp_1_rot_z,opp_1_ball_cam,opp_1_boost,opp_1_boost_active,opp_1_dodge_active,opp_1_jump_active,opp_1_double_jump_active,opp_1_boost_collect,opp_2_name,opp_2_id,opp_2_ping,opp_2_pos_x,opp_2_pos_y,opp_2_pos_z,opp_2_vel_x,opp_2_vel_y,opp_2_vel_z,opp_2_ang_vel_x,opp_2_ang_vel_y,opp_2_ang_vel_z,opp_2_throttle,opp_2_steer,opp_2_handbrake,opp_2_rot_x,opp_2_rot_y,opp_2_rot_z,opp_2_ball_cam,opp_2_boost,opp_2_boost_active,opp_2_jump_active,opp_2_dodge_active,opp_2_double_jump_active,opp_2_boost_collect,shot_taker_handbrake
0,227,2,False,1,7007.429734921647,-2175.969970703125,-1158.1800537109375,100.87999725341797,10048.400268554688,27389.7998046875,5493.4002685546875,756.6999816894531,-4143.500061035156,4272.900085449219,1.0,0.21183289811328596,-0.8164030762163552,-1.4027049968783603,bf81d8692db,games5425898691,24.0,-2241.570068359375,-1326.52001953125,50.470001220703125,13677.39990234375,13091.199951171875,2738.699951171875,2154.499969482422,-3100.2999877929688,3863.800048828125,255.0,157.0,0.06998600070214218,2.2609375561078435,-0.020271835482303113,True,139.0,False,4,False,False,,76561198039309853,enpitsu,27.0,1978.27001953125,863.739990234375,17.049999237060547,12291.99951171875,-2553.300018310547,2.7000001072883606,6.200000047683716,-1.5000000596046448,-1298.3000183105469,255.0,128.0,,-0.016734097727270487,-2.867125453085289,0.00014517091784688876,False,0.0,False,2,False,2,,alvaromp192,3981197850245088774,16.0,-874.2100219726562,-170.47999572753906,46.20000076293945,-10760.6005859375,6859.1998291015625,3471.7999267578125,218.09999465942383,354.59999084472656,497.40001678466797,255.0,138.0,,-0.0008234477587932415,0.5491560523937059,0.0003565394277469924,True,31.0,False,6,8,False,,franlg24,2270089021929604356,16.0,2412.969970703125,3628.570068359375,17.0,-16017.39990234375,5222.39990234375,3.1999999284744263,0.5999999865889549,-0.0,-0.29999999329447746,159.0,128.0,False,-0.009605922770792323,0.3152586670975788,5.183262552076673e-05,True,204.0,False,4,4,False,,
1,366,7,False,1,3257.5163235373966,1453.1300048828125,1930.47998046875,249.2100067138672,-15328.499755859375,21332.099609375,5379.7998046875,3997.0999145507812,4323.500061035156,1153.0000305175781,1.0,-0.2898087075204862,1.0658806159172998,0.7736532473963108,76561198039309853,enpitsu,27.0,1563.719970703125,1774.6500244140625,163.30999755859375,-8921.500244140625,20185.400390625,2913.599853515625,-2081.199951171875,-1803.0000305175781,1011.3999938964844,255.0,255.0,-0.08381227548555524,1.4126171250549582,-0.010313162754790347,True,175.0,False,4,False,3,,bf81d8692db,games5425898691,24.0,1863.489990234375,1781.550048828125,17.010000228881836,-4025.7998657226562,7652.9998779296875,2.0999999344348907,-0.7000000029802322,1.1999999731779099,102.10000038146973,255.0,128.0,,-0.009532119518821762,1.072910084205533,-0.00015095374112865866,True,200.0,False,6,False,6,,alvaromp192,3981197850245088774,13.0,-734.8599853515625,4774.56005859375,17.010000228881836,13528.599853515625,1907.7000427246094,2.0999999344348907,-0.5000000074505806,-0.5999999865889549,-11.59999966621399,128.0,128.0,,-0.009701931585415944,3.0033463385429244,7.14405969439363e-05,True,242.0,False,8,8,False,,franlg24,2270089021929604356,13.0,-1674.5699462890625,4556.2001953125,17.030000686645508,17236.400146484375,4186.499938964844,-0.5000000074505806,-0.7000000029802322,-0.0,-260.9000015258789,238.0,128.0,False,-0.009575073961843117,2.93115395080051,0.0002029211307889409,True,134.0,False,6,6,False,,False
2,1983,66,True,0,1670.3917759911308,773.2899780273438,5079.33984375,96.5999984741211,-76.5999984741211,13849.89990234375,6564.5001220703125,-5982.9998779296875,-145.600004196167,427.09999084472656,0.0,-0.5652513223148318,-1.1851564596125412,-3.1285909451249156,3981197850245088774,alvaromp192,11.0,890.989990234375,4837.7001953125,198.8699951171875,-3419.8001098632812,21109.29931640625,-8467.7001953125,-3955.5999755859375,2435.7000732421875,-629.5999908447266,255.0,23.0,-0.061756900545354494,-3.0754151358036643,0.5402856783606191,True,75.16405164041826,True,12,4,10,,2270089021929604356,franlg24,11.0,-3557.3701171875,-3556.909912109375,17.010000228881836,3781.6000366210938,13365.2001953125,2.5,0.09999999776482582,-0.29999999329447746,-2230.800018310547,255.0,0.0,False,0.00959100532466754,1.2205824852704201,3.870164308668997e-05,True,255.0,False,30,10,20,,enpitsu,76561198039309853,27.0,485.20001220703125,5098.759765625,106.41000366210938,12197.80029296875,-6056.5997314453125,395.40000915527344,1151.2999725341797,5373.499755859375,223.1999969482422,255.0,128.0,False,1.2646689877446617,-0.08219009471024721,0.13298628119943542,True,90.0,False,13,14,False,,games5425898691,bf81d8692db,24.0,-846.8699951171875,3747.580078125,17.010000228881836,7141.500244140625,20197.60009765625,2.3000000417232513,-0.09999999776482582,0.09999999776482582,-1992.4000549316406,255.0,0.0,,0.009571885022199267,1.1535346254669547,-2.2255489886787175e-05,True,160.0,False,6,4,4,,True
3,2247,66,False,1,5172.162679472866,1.409999966621399,45.790000915527344,92.70999908447266,-495.29998779296875,27968.1005859375,104.39999580383301,2247.4000549316406,-337.09999084472656,182.90000915527344,1.0,-0.005665414085541126,-0.0029458567984338175,-0.04010502874661833,bf81d8692db,games5425898691,24.0,14.039999961853027,-179.0800018310547,101.52999877929688,2320.2999877929688,22690.80078125,92.89999961853027,-5474.69970703125,494.59999084472656,180.20000457763672,128.0,169.0,-1.3792931711997785,1.7260723013838855,-0.05766970894122281,True,31.0,False,4,False,3,,76561198039309853,enpitsu,27.0,-3013.419921875,-4148.7099609375,17.049999237060547,-12737.5,367.79998779296875,4.1999998688697815,-0.19999999552965164,0.09999999776482582,-3227.9998779296875,255.0,0.0,False,-0.0167461713663786,0.4168250309561048,-0.00010620382072117279,True,255.0,False,False,False,False,,alvaromp192,3981197850245088774,12.0,33.20000076293945,5085.39013671875,17.010000228881836,-224.0999984741211,-5458.3001708984375,2.0999999344348907,-0.0,-1.8000000715255737,-56.500000953674316,255.0,155.0,,-0.009490007042781108,-1.5127386722166412,9.080553634060475e-05,True,116.0,False,False,False,False,,franlg24,2270089021929604356,12.0,-336.760009765625,186.77000427246094,102.5199966430664,-9671.400146484375,-17249.200439453125,-152.5,-2133.8999938964844,-5055.199890136719,-374.90001678466797,255.0,0.0,,-0.08285998910620582,-1.1351031625219568,1.953556053780385,True,31.0,False,4,3,False,,
4,2803,86,True,0,2593.789710826488,722.3499755859375,3113.010009765625,301.489990234375,-8437.899780273438,15906.199951171875,2837.9998779296875,-3311.099853515625,1520.2999877929688,4767.0001220703125,0.0,0.8464438104053825,1.2992154237654423,0.268780714651062,3981197850245088774,alvaromp192,12.0,807.97998046875,2971.469970703125,171.77000427246094,-3850.10009765625,9663.200073242188,5122.9998779296875,0.3999999910593033,0.09999999776482582,-21.90000057220459,255.0,128.0,0.009285380271593362,1.9356283720842626,6.052024041464579e-06,False,0.0,False,8,4,4,,2270089021929604356,franlg24,12.0,-499.5899963378906,1632.75,17.010000228881836,8384.69970703125,8870.399780273438,2.3999999463558197,1.0000000149011612,1.0000000149011612,-2175.2000427246094,239.0,0.0,,0.009581355884156768,0.7731492666864314,-0.0001712730419539276,True,231.0,False,12,False,12,,enpitsu,76561198039309853,27.0,312.1499938964844,4829.41015625,17.059999465942383,-2372.2999572753906,2063.699951171875,1.4000000059604645,-0.29999999329447746,-0.7999999821186066,-1248.6000061035156,255.0,128.0,False,0.0167544517399906,-1.234063508152061,9.279587031916836e-05,True,200.0,False,4,6,False,,games5425898691,bf81d8692db,24.0,-93.87000274658203,4072.97998046875,138.77999877929688,17768.399658203125,-14470.50048828125,1970.8000183105469,-811.6000366210938,-960.0,-38.69999885559082,255.0,128.0,,-0.7565525970900113,-0.7377615479541502,0.0218724458727358,True,205.5783484058995,True,12,6,False,,
5,3693,109,False,1,5343.076217777006,-3535.639892578125,2155.199951171875,184.08999633789062,13770.50048828125,13381.700439453125,10121.500244140625,-2494.199981689453,-4322.0001220703125,-3331.400146484375,1.0,-0.6645755543125873,-0.7062805723563376,1.3060834631488591,bf81d8692db,games5425898691,24.0,-3596.889892578125,2188.820068359375,58.15999984741211,13708.399658203125,17740.899658203125,43.499999046325684,2782.5,4485.5999755859375,1544.7999572753906,128.0,0.0,0.07353839434935612,1.980188328236938,1.2593676816135555,True,0.0,False,12,False,9,,76561198039309853,enpitsu,27.0,-1511.6700439453125,-5093.4599609375,124.18000030517578,-4270.0,607.7999877929688,-1964.4999694824219,1093.6000061035156,-1502.7999877929688,-815.8999633789062,255.0,0.0,,-0.30979821304079364,0.08948111047969395,1.3094605011046456,True,0.0,False,8,False,8,,alvaromp192,3981197850245088774,13.0,-1267.3800048828125,3084.6298828125,17.020000457763672,-3178.800048828125,16905.400390625,0.7000000029802322,-0.7000000029802322,-0.5999999865889549,-66.39999866485596,0.0,65.0,False,-0.009906388591339757,1.3621791661529281,-0.00017495300478294974,True,114.0,False,10,10,False,,franlg24,2270089021929604356,13.0,-2783.81005859375,-1488.469970703125,85.77999877929688,-1385.2000427246094,20237.900390625,-1641.6999816894531,-2514.1000366210938,-277.7000045776367,18.700000047683716,251.0,128.0,,0.4291209253931995,1.4697619359009242,0.010966423864007237,True,142.75669674206804,True,14,12,False,,
6,3783,112,True,1,1057.2271317770565,278.1099853515625,4282.1298828125,169.35000610351562,9059.69970703125,22042.2998046875,-4394.800109863281,-4255.5999755859375,-919.3000030517578,-4128.399963378906,1.0,-0.7972524677015517,-0.8230946654890186,2.2164518414394974,bf81d8692db,games5425898691,24.0,250.19000244140625,4125.02978515625,130.6300048828125,2849.4000244140625,11115.50048828125,-548.8000106811523,1941.9999694824219,-3452.7999877929688,-3815.1998901367188,255.0,255.0,0.07671449419439356,1.7327974923000469,-1.4392224353944567,True,23.402907750939818,True,14,False,11,,76561198039309853,enpitsu,27.0,-1300.550048828125,-600.760009765625,17.049999237060547,7903.900146484375,17686.600341796875,2.5,-0.0,-0.5000000074505806,-4.000000059604645,255.0,128.0,,-0.01679758977822902,1.991538850464805,4.095039886176713e-05,True,41.0,False,10,False,10,,alvaromp192,3981197850245088774,13.0,-281.32000732421875,5776.43017578125,117.63999938964844,-703.8999938964844,3262.60009765625,-7362.0001220703125,-1186.2000274658203,-5313.900146484375,261.8000030517578,255.0,50.0,True,0.0379445765225702,-1.3430388473565653,-2.006448554879983,True,0.0,False,10,12,4,,franlg24,2270089021929604356,13.0,-1040.760009765625,4634.919921875,17.010000228881836,22708.9990234375,2438.6000061035156,2.0999999344348907,-0.5000000074505806,-0.0,-133.1999969482422,249.0,128.0,,-0.009592569102165084,3.0494852775241896,9.105115916383624e-05,True,66.0,False,17,14,False,,
7,5426,163,False,0,3670.478743895714,317.1499938964844,1675.800048828125,93.45999908447266,-5528.699951171875,21324.7998046875,277.39999771118164,-4880.4998779296875,-1772.4000549316406,854.1000366210938,0.0,0.3885934761886238,3.070270282487873,-2.637790587506752,2270089021929604356,franlg24,13.0,217.44000244140625,1479.3199462890625,16.989999771118164,-6201.500244140625,22131.298828125,6.600000262260437,0.5000000074505806,-2.199999988079071,-1189.8999786376953,236.0,0.0,0.009593810331893866,1.8298883874562402,-0.00017353217616069687,False,27.0,False,20,False,18,,3981197850245088774,alvaromp192,13.0,2873.02001953125,-3140.340087890625,17.0,-6055.2001953125,10121.099853515625,3.3000001311302185,-0.19999999552965164,0.5999999865889549,0.0,255.0,128.0,False,0.009556329912185375,2.1099585087076065,-6.655161587551657e-05,True,255.0,False,22,False,22,,enpitsu,76561198039309853,27.0,-277.9800109863281,762.0399780273438,54.560001373291016,536.6999816894531,22737.7001953125,3385.0,-722.5,44.699997901916504,-247.99999237060547,255.0,128.0,False,0.04081373247794527,1.5074311595624605,0.0005921618501692963,True,5.0,False,9,16,2,,games5425898691,bf81d8692db,24.0,1459.969970703125,-606.3300170898438,16.959999084472656,-1666.6000366210938,3786.9000244140625,15.59999942779541,-11.699999570846558,17.5,46.500000953674316,255.0,128.0,,0.009262160406151257,1.98907029709586,-0.0011227529685396947,True,0.0,False,30,24,False,,
8,5431,163,False,0,3289.3683239070233,221.10000610351562,2046.1300048828125,93.16000366210938,-5426.5997314453125,20897.900390625,58.60000133514404,-5619.0997314453125,-1930.0999450683594,836.2999725341797,0.0,0.48124358675072454,-2.5645849410815025,-1.5775663107948115,2270089021929604356,franlg24,13.0,137.30999755859375,1872.030029296875,17.0,-3416.300048828125,22624.89990234375,3.3000001311302185,0.0,-0.29999999329447746,-159.7000026702881,232.0,128.0,0.009605497366940292,1.7036541027775913,8.849059024472189e-05,False,27.0,False,20,False,18,,3981197850245088774,alvaromp192,13.0,2764.050048828125,-2958.179931640625,17.0,-6374.000244140625,10654.200439453125,3.3000001311302185,-0.29999999329447746,0.5999999865889549,0.0,255.0,128.0,False,0.009556329912185375,2.1099585087076065,-6.655161587551657e-05,True,255.0,False,22,False,22,,enpitsu,76561198039309853,27.0,-267.1700134277344,1123.6800537109375,94.12999725341797,765.4000091552734,22913.5009765625,1796.9000244140625,-5479.7998046875,469.39998626708984,-22.699999809265137,255.0,128.0,False,0.7761799465316837,1.4813283507082042,-0.0034911304039951063,True,5.0,False,9,16,2,,games5425898691,bf81d8692db,24.0,1427.4000244140625,-533.0,17.010000228881836,-2388.3999633789062,5350.3997802734375,2.0999999344348907,-0.7999999821186066,1.0000000149011612,1.8000000715255737,255.0,128.0,,0.009480604120052912,1.9910556476526926,-8.427033670588243e-05,True,0.0,False,30,24,False,,
9,5452,164,False,0,1584.4989720404847,-54.439998626708984,3797.4599609375,93.1500015258789,-3353.800048828125,22760.70068359375,0.0,-5427.2998046875,-2527.899932861328,391.89998626708984,0.0,-0.5793786081091528,-3.093443035751313,2.608089817290737,2270089021929604356,franlg24,13.0,-71.4800033569336,3606.18994140625,17.0,-2638.699951171875,22848.1005859375,1.0000000149011612,0.3999999910593033,-0.19999999552965164,0.0,255.0,128.0,0.0096274403376323,1.685774778307486,2.6783547916139913e-05,False,28.815828033672872,True,20,False,18,,3981197850245088774,alvaromp192,13.0,2249.02001953125,-2097.31005859375,17.0,-7223.2000732421875,12073.399658203125,3.3000001311302185,-0.5000000074505806,0.3999999910593033,0.0,255.0,128.0,False,0.009566973630662579,2.1099584935668805,-4.777971638027087e-05,True,255.0,False,22,False,22,,enpitsu,76561198039309853,27.0,-210.25,2836.570068359375,82.18000030517578,750.1999664306641,22769.89990234375,-1335.5000305175781,-3135.2999877929688,273.1999969482422,-8.100000023841858,128.0,128.0,False,-0.6695639343724805,1.4860469460689234,-0.0036410736673543865,True,5.0,False,10,16,2,,games5425898691,bf81d8692db,24.0,1179.2900390625,22.139999389648438,82.22000122070312,-3240.7998657226562,7252.39990234375,3007.6998901367188,-0.3999999910593033,-0.29999999329447746,0.0,128.0,128.0,,0.009838268267941137,1.9911064406727685,3.126673695801474e-05,True,31.0,False,32,24,3,,
10,5461,164,False,0,932.8179789691882,-167.4499969482422,4557.4501953125,93.1500015258789,-3259.8001098632812,21752.19970703125,0.0,-5670.5999755859375,-1940.5000305175781,278.700008392334,0.0,0.4152781073836196,-3.1031604068282963,-1.7773191959107195,2270089021929604356,franlg24,13.0,-157.7100067138672,4349.97998046875,17.0,-2715.1998901367188,22838.40087890625,3.1999999284744263,0.29999999329447746,0.0,111.00000381469727,179.0,139.0,0.009613027893976297,1.69068335210637,3.4266683433229734e-05,False,47.0,False,20,False,18,,3981197850245088774,alvaromp192,13.0,2043.1500244140625,-1689.7099609375,17.0,-4915.7000732421875,13199.599609375,3.400000035762787,0.0,0.29999999329447746,-248.60000610351562,255.0,128.0,False,0.009588774100707976,1.9032068021255197,0.00011549051935065838,True,255.0,False,22,False,22,,enpitsu,76561198039309853,27.0,-182.00999450683594,3574.669921875,15.449999809265137,1260.5999755859375,22488.40087890625,-298.29999923706055,-465.6999969482422,42.800002098083496,187.99999237060547,255.0,128.0,False,0.02293161839244378,1.518790716405218,-0.000703360847062615,True,5.0,False,10,18,2,,games5425898691,bf81d8692db,24.0,1073.5999755859375,258.8699951171875,239.5399932861328,-3252.39990234375,7278.599853515625,3810.4000854492188,-0.3999999910593033,-0.29999999329447746,0.0,128.0,128.0,,0.009838268267941137,1.9911064406727685,3.126673695801474e-05,True,31.0,False,32,24,4,,
11,5466,164,True,0,703.0607985757209,-223.97999572753906,4933.39990234375,93.1500015258789,-3203.699951171875,21240.6005859375,0.0,-5743.0999755859375,-1720.8999633789062,232.90000915527344,0.0,0.40038925264994063,-2.539219813639622,-0.613740320985844,2270089021929604356,franlg24,13.0,-208.33999633789062,4748.8701171875,17.0,-3007.0999145507812,22623.1005859375,3.1999999284744263,-0.3999999910593033,-0.19999999552965164,18.799999952316284,128.0,128.0,0.009595327223085974,1.7049152159339078,1.740170999223015e-05,False,47.0,False,20,False,18,,3981197850245088774,alvaromp192,13.0,1962.81005859375,-1456.5,17.0,-4455.10009765625,13376.800537109375,3.400000035762787,0.0,-0.5000000074505806,-13.300000429153442,255.0,128.0,False,0.009586893541017837,1.8902446270656603,6.840749717674988e-05,True,255.0,False,22,False,22,,enpitsu,76561198039309853,27.0,-158.07000732421875,4063.7900390625,69.56999969482422,1068.7000274658203,22651.99951171875,2888.5000610351562,-1278.7999725341797,54.29999828338623,33.59999895095825,255.0,128.0,False,0.08856690686318086,1.531560731635107,0.00022415141232845853,True,5.0,False,11,18,2,,games5425898691,bf81d8692db,24.0,1016.6900024414062,386.3399963378906,295.7799987792969,-3252.39990234375,7278.599853515625,2672.2000122070312,-0.3999999910593033,-0.29999999329447746,0.0,128.0,128.0,,0.009838268267941137,1.9911064406727685,3.126673695801474e-05,True,31.0,False,32,24,4,,
12,6106,178,False,1,1791.0822990390056,-226.6699981689453,3744.43994140625,195.7899932861328,-583.4000015258789,24450.10009765625,14.40000057220459,-4504.4000244140625,1982.5999450683594,-3432.0001220703125,1.0,0.8199602990974924,2.297325415847577,2.210823637947962,76561198039309853,enpitsu,27.0,-172.4199981689453,3567.64990234375,176.50999450683594,3610.4000854492188,19548.1005859375,2268.000030517578,49.40000057220459,32.5,3572.3001098632812,255.0,,0.07254650622119281,1.3905422265927008,0.0029769437469311204,True,,False,8,False,7,,bf81d8692db,games5425898691,24.0,-1969.6600341796875,4685.22998046875,16.920000076293945,3896.300048828125,-13914.599609375,23.499999046325684,77.5,-61.90000057220459,-210.40000915527344,255.0,128.0,,-0.006855285999497181,-1.822931432370786,-0.0034224458248091386,True,115.55877007463927,True,4,False,4,,alvaromp192,3981197850245088774,12.0,-3531.969970703125,3546.0400390625,16.989999771118164,8754.099731445312,9784.500122070312,2.3000000417232513,-0.0,0.29999999329447746,-10.59999942779541,255.0,,,-0.009545853134357234,2.3021880674924695,-1.163619949773024e-05,True,187.55877007463928,True,6,10,4,,franlg24,2270089021929604356,12.0,-497.0400085449219,4286.490234375,43.31999969482422,9565.30029296875,-10403.00048828125,3402.0001220703125,0.3999999910593033,-0.7999999821186066,-163.4000015258789,238.0,,,-0.009535014086085212,-2.2881184617907198,0.00023380471584435818,True,,False,9,6,False,,
13,6485,192,True,0,3372.360022980187,1518.81005859375,2785.9599609375,253.3000030517578,-15646.500244140625,18120.2001953125,6749.5001220703125,-2391.9000244140625,4410.5999755859375,3290.10009765625,0.0,1.3245298189179866,0.2417674650895521,-2.377841280885588,2270089021929604356,franlg24,12.0,1544.489990234375,2734.7900390625,101.12999725341797,-19171.700439453125,12099.49951171875,1991.1000061035156,-2430.500030517578,-839.1999816894531,354.59999084472656,128.0,128.0,0.05823337773165147,2.8648200063026614,0.11473939819249065,True,56.0,False,18,False,14,,3981197850245088774,alvaromp192,12.0,2767.7099609375,656.6300048828125,17.010000228881836,-12973.699951171875,-230.10000228881836,0.19999999552965164,-1.0999999940395355,-0.29999999329447746,-1991.6000366210938,255.0,0.0,False,0.009531737099896272,3.132533601347152,-0.00022120700891264006,True,245.62298510664255,True,16,4,12,,enpitsu,76561198039309853,27.0,869.3300170898438,-4267.259765625,17.049999237060547,7344.7998046875,2495.7000732421875,2.5999999046325684,-1.0000000149011612,0.0,-150.600004196167,255.0,128.0,False,0.01663947168103823,0.3129078209461331,0.00015067544964186675,True,,False,10,10,False,,games5425898691,bf81d8692db,25.0,-563.2000122070312,4156.419921875,17.010000228881836,4632.39990234375,10750.999755859375,2.3000000417232513,0.0,-0.29999999329447746,-2148.3999633789062,128.0,0.0,,0.009656810584914566,1.1110131372759307,-1.9001299016283715e-05,True,122.0,False,12,12,False,,
14,8826,268,False,1,852.5619623995472,853.4600219726562,4288.5,136.19000244140625,-3976.7001342773438,20397.60009765625,9244.199829101562,4277.099914550781,-4120.299987792969,853.6000061035156,1.0,-0.6891156461176521,0.5144316026355905,0.2498399104322575,76561198039309853,enpitsu,27.0,861.0800170898438,4013.840087890625,22.020000457763672,5789.0997314453125,14417.60009765625,2997.9000854492188,-0.19999999552965164,-0.7000000029802322,330.09998321533203,255.0,255.0,-0.016784535225955133,1.9201889709764344,-0.00024300124470826766,True,201.0,False,20,False,12,,bf81d8692db,games5425898691,24.0,70.0,4440.7001953125,17.0,-2435.8999633789062,-12897.5,3.6000001430511475,-0.0,-0.0,2283.3999633789062,255.0,255.0,,-0.009561997708964107,-1.4520200774726082,1.2322522880321521e-05,True,31.0,False,30,False,30,,alvaromp192,3981197850245088774,12.0,836.4199829101562,4441.14013671875,75.80000305175781,-880.8999633789062,-14575.400390625,2933.0999755859375,1548.0000305175781,161.00000381469727,967.3999786376953,255.0,69.0,,-0.11334038506986589,-1.7370450126269328,0.003916814308385137,,233.85583640170353,True,4,8,False,,franlg24,2270089021929604356,12.0,1540.3800048828125,3925.510009765625,78.08999633789062,-18837.19970703125,12085.799560546875,3240.5999755859375,871.1000061035156,1290.7000732421875,-1306.3999938964844,231.0,2.0,,0.09413863769477256,0.6731835126385826,0.0036051131813295088,True,,False,6,4,False,,
