Record in one game           	Value           	First replay
Most shots                   	26              	https://ballchasing.com/replay/186c6a90-a1a9-4121-b92d-68b4247f6b1a#watch
Least shots                  	3               	https://ballchasing.com/replay/a484da3d-8577-41f8-97d9-795d790f320e#watch
Most goals                   	13              	https://ballchasing.com/replay/3595881e-328b-48dc-a13e-ab713ca4899d#watch
Most xG                      	11.73           	https://ballchasing.com/replay/f34a3df1-31d3-42c0-bfb4-19c4aa4063f6#watch
Least xG                     	1.53            	https://ballchasing.com/replay/16610695-f169-4ded-be4e-8e8a6ee3daf7#watch
Most saves                   	14              	https://ballchasing.com/replay/a49b0a74-b791-4626-9206-cadbfd204972#watch
Most assists                 	9               	https://ballchasing.com/replay/09b1b4f0-55ee-4c86-a501-19acabdcaaf3#watch
Highest scores               	3207            	https://ballchasing.com/replay/3595881e-328b-48dc-a13e-ab713ca4899d#watch
Lowest scores                	652             	https://ballchasing.com/replay/16610695-f169-4ded-be4e-8e8a6ee3daf7#watch
Most hits                    	228             	https://ballchasing.com/replay/f0067a50-45c5-41da-8848-61567877a0dc#watch
Least hits                   	56              	https://ballchasing.com/replay/16610695-f169-4ded-be4e-8e8a6ee3daf7#watch
Biggest xG overperformance   	12G from 4.86 xG	https://ballchasing.com/replay/a707c024-5f84-40e8-bfc6-2f48397d701c#watch
Biggest xG overperformance % 	147.0%          	https://ballchasing.com/replay/a707c024-5f84-40e8-bfc6-2f48397d701c#watch
Biggest xG underperformance  	1G from 4.15 xG 	https://ballchasing.com/replay/a484da3d-8577-41f8-97d9-795d790f320e#watch
Biggest xG underperformance %	-76.0%          	https://ballchasing.com/replay/a484da3d-8577-41f8-97d9-795d790f320e#watch
Most demos                   	10              	https://ballchasing.com/replay/5a1fb1f1-0629-40b7-a255-224ea2a4fe7b#watch
Most passes                  	37              	https://ballchasing.com/replay/f78e8a2e-55d5-43f4-ba34-815568289126#watch
Most dribbles                	55              	https://ballchasing.com/replay/11e3a216-4067-4d2a-b3c6-3fa970e48c5b#watch
Most clears                  	28              	https://ballchasing.com/replay/f0067a50-45c5-41da-8848-61567877a0dc#watch
Most aerials                 	40              	https://ballchasing.com/replay/6817c4e0-6f6f-431d-92cf-17d794f45ac6#watch
Most balls won               	49              	https://ballchasing.com/replay/f0067a50-45c5-41da-8848-61567877a0dc#watch